Starting tests...
acl_userdir(_alpha0, r, r, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, r, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, r, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, wx, r, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, r, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, r, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, wx, r, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, r, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, r, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, wx, r, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, wx, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, r) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, rw) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, wx, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, rx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, wx, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, wx, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rw, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, wx, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, wx, rx, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, r) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, wx, rx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, wx, rx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, wx, rx, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, rx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, rx, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rx, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, wx, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, wx, rwx, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, r) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, wx, rwx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, wx, rwx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, wx, rwx, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, rwx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, rwx, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, rwx, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, wx, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, wx, w, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, r) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, r) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, rw) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, rw) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, wx, w, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, rx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, rx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, wx, w, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, rwx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, wx, w, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, w, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, wx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, w, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, w, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, w, x) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, wx, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, wx, wx, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, wx, wx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, wx, wx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, wx, wx, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, wx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, wx, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, wx, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, wx, x, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, r) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, wx, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, rw) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, wx, x, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, rx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, wx, x, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, wx, x, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, w) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, w) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, wx, x, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, wx) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, wx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, wx, x, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, wx, x, x) -> (1, 0, 0) OK
acl_userdir(_alpha2, rw, wx, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, wx, x, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, r, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, r, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, rw) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, r, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, rx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, r, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, rwx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, r, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, w) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, x, r, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, wx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, wx) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, x, r, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, r, x) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, r, x) -> (0, 1, 1) OK
acl_userdir(_alpha3, rw, x, r, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, r) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, rx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, w) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, x, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, wx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, wx) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, x, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rw, x) -> (0, 0, 1) OK
acl_userdir(_alpha3, rw, x, rw, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, rx, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, r) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, rw) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, rx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, rx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, rwx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, rx, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, w) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, x, rx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, wx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, wx) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, x, rx, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rx, x) -> (0, 1, 0) OK
acl_userdir(_alpha3, rw, x, rx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, rwx, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, r) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, rw) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, rwx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, rx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, rwx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, rwx, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, w) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, x, rwx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, wx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, wx) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, x, rwx, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, rwx, x) -> (0, 0, 0) OK
acl_userdir(_alpha3, rw, x, rwx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, w, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, r) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, rw) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, w, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, rx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, w, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, rwx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, w, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, x, w, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, wx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, wx) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, x, w, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, w, x) -> (1, 0, 1) OK
acl_userdir(_alpha3, rw, x, w, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, wx, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, r) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, rw) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, wx, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, rx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, wx, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, rwx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, wx, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, w) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, w) -> (1, 0, 1) OK
acl_userdir(_alpha0, rw, x, wx, wx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, wx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, wx) -> (1, 0, 0) OK
acl_userdir(_alpha0, rw, x, wx, x) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, wx, x) -> (1, 0, 0) OK
acl_userdir(_alpha3, rw, x, wx, x) -> (1, 1, 0) OK
acl_userdir(_alpha0, rw, x, x, r) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, x, r) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, x, x, r) -> (0, 1, 1) OK
acl_userdir(_alpha0, rw, x, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, x, rw) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, x, x, rw) -> (0, 0, 1) OK
acl_userdir(_alpha0, rw, x, x, rx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, x, rx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, x, x, rx) -> (0, 1, 0) OK
acl_userdir(_alpha0, rw, x, x, rwx) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, x, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, x, rwx) -> (1, 1, 0) OK
acl_userdir(_alpha3, rw, x, x, rwx) -> (0, 0, 0) OK
acl_userdir(_alpha0, rw, x, x, w) -> (0, 0, 1) OK
acl_userdir(_alpha1, rw, x, x, w) -> (1, 1, 0) OK
acl_userdir(_alpha2, rw, x, x, w) -> (1, 1, 0) OK
