Starting tests...
acl_groupfile(_alpha0, _beta0, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, wx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, wx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, wx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, wx, rx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, wx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, wx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, wx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta0, _gamma1, wx, rwx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, wx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, wx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, wx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta0, _gamma1, wx, w) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, wx, w) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, wx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, wx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, wx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, wx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma1, wx, x) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, wx, x) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, wx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, wx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, r) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, r) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, r) -> (0, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, r) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, rx) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, rwx) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, w) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, w) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, w) -> (1, 0, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, w) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, wx) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma0, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma0, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma0, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha3, _beta0, _gamma0, x, x) -> (1, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, r) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, r) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, r) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, r) -> (0, 1, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, rx) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, rwx) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, w) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, w) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, w) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, w) -> (1, 0, 127) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, wx) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta0, _gamma1, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta0, _gamma1, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta0, _gamma1, x, x) -> (1, 1, 127) OK
acl_groupfile(_alpha3, _beta0, _gamma1, x, x) -> (1, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, r) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, rw) -> (0, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, rx) -> (0, 1, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, rwx) -> (0, 1, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, w) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, w) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, w) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, w) -> (0, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, wx) -> (0, 1, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, r, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, r, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, r, x) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, r, x) -> (0, 1, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, r) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, r) -> (0, 1, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, rw) -> (0, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, rx) -> (0, 1, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, rwx) -> (0, 1, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, w) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, w) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, w) -> (0, 1, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, w) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, wx) -> (0, 1, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, r, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, r, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, r, x) -> (0, 1, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, r, x) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, r) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, r) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, r) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, r) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, rx) -> (0, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, rwx) -> (0, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, w) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, w) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, w) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, w) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, wx) -> (0, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rw, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rw, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rw, x) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rw, x) -> (0, 0, 127) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, r) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, r) -> (0, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, r) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, r) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, rx) -> (0, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, rwx) -> (0, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, w) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, w) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, w) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, w) -> (0, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, wx) -> (0, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rw, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rw, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rw, x) -> (0, 0, 127) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rw, x) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, r) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, r) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, r) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, r) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, rw) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, rwx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, w) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, w) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, wx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rx, x) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rx, x) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, r) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, r) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, r) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, r) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, rw) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, rwx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, w) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, w) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, wx) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rx, x) -> (0, 1, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rx, x) -> (0, 1, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, r) -> (0, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, r) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, r) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, r) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, w) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, w) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, rwx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, rwx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma0, rwx, x) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma0, rwx, x) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, r) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, r) -> (0, 1, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, r) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, r) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, rw) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, rw) -> (0, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, rw) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, rx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, rx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, rwx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, rwx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, w) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, w) -> (1, 0, 127) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, w) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, w) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, wx) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, wx) -> (1, 0, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, wx) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma1, rwx, x) -> (1, 1, 127) OK
acl_groupfile(_alpha1, _beta1, _gamma1, rwx, x) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma1, rwx, x) -> (0, 0, 0) OK
acl_groupfile(_alpha3, _beta1, _gamma1, rwx, x) -> (0, 0, 0) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, r) -> (0, 1, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, r) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, r) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, r) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, rw) -> (1, 1, 1) OK
acl_groupfile(_alpha2, _beta1, _gamma0, w, rw) -> (0, 0, 1) OK
acl_groupfile(_alpha3, _beta1, _gamma0, w, rw) -> (1, 0, 1) OK
acl_groupfile(_alpha0, _beta1, _gamma0, w, rx) -> (0, 1, 0) OK
acl_groupfile(_alpha1, _beta1, _gamma0, w, rx) -> (1, 1, 127) OK
